    Year    ;Real GDP US$;Real GDP rate of growth;GDP rate of variation;Rate of growth as log difference;Rate of variation as the second difference;Government Debt to GDP US$;DIFF Log Governement Debt to GDP;Rate of variation as the second difference Gov Debt;Rate of variation as the third difference Gov Debt;Private Debt to GDP US$;DIFF Log Private Debt to GDP;Rate of variation as the second difference Private Debt;Rate of variation as the third difference Private Debt
1981;1.22E+12;0.099099099;0.046978484;0.094490843;0.043683083;0.0440;0.0882;-0.3147;-0.5797;0.1144;0.0221;0.0100;0.0149
1982;1.13E+12;-0.073770492;-0.172869591;-0.076633226;-0.171124069;0.0472;0.0692;-0.0190;0.2957;0.1192;0.0406;0.0185;0.0085
1983;1.24E+12;0.097345133;0.171115625;0.092893747;0.169526973;0.0516;0.0899;0.0207;0.0396;0.1251;0.0484;0.0078;-0.0107
1984;1.32E+12;0.064516129;-0.032829004;0.062520357;-0.03037339;0.0528;0.0230;-0.0669;-0.0875;0.1276;0.0199;-0.0285;-0.0364
1985;1.40E+12;0.060606061;-0.003910068;0.0588405;-0.003679857;0.0531;0.0049;-0.0182;0.0487;0.1286;0.0077;-0.0122;0.0164
1986;2.08E+12;0.485714286;0.425108225;0.395895657;0.337055157;0.0557;0.0477;0.0429;0.0610;0.1339;0.0409;0.0332;0.0453
1987;2.53E+12;0.216346154;-0.269368132;0.195851409;-0.200044248;0.0577;0.0355;-0.0122;-0.0551;0.1468;0.0916;0.0507;0.0175
1988;3.07E+12;0.213438735;-0.002907419;0.193458259;-0.00239315;0.0560;-0.0295;-0.0650;-0.0527;0.1517;0.0327;-0.0589;-0.1095
1989;3.05E+12;-0.006514658;-0.219953393;-0.006535971;-0.19999423;0.0536;-0.0444;-0.0149;0.0501;0.1594;0.0501;0.0174;0.0762
1990;3.13E+12;0.026229508;0.032744166;0.025891414;0.032427385;0.0534;-0.0038;0.0406;0.0555;0.1640;0.0283;-0.0218;-0.0392
1991;3.58E+12;0.143769968;0.11754046;0.134329796;0.108438382;0.0530;-0.0083;-0.0045;-0.0450;0.1638;-0.0016;-0.0299;-0.0081
1992;3.91E+12;0.092178771;-0.051591197;0.088174574;-0.046155222;0.0567;0.0687;0.0770;0.0815;0.1659;0.0132;0.0148;0.0447
1993;4.45E+12;0.138107417;0.045928646;0.129366722;0.041192149;0.0615;0.0815;0.0127;-0.0643;0.1690;0.0181;0.0050;-0.0098
1994;5.00E+12;0.123595506;-0.014511911;0.116533816;-0.012832906;0.0644;0.0456;-0.0359;-0.0486;0.1649;-0.0242;-0.0423;-0.0472
1995;5.55E+12;0.11;-0.013595506;0.104360015;-0.012173801;0.0704;0.0890;0.0434;0.0793;0.1636;-0.0081;0.0161;0.0584
1996;4.92E+12;-0.113513514;-0.223513514;-0.120489397;-0.224849413;0.0753;0.0670;-0.0220;-0.0653;0.1606;-0.0188;-0.0107;-0.0267
1997;4.49E+12;-0.087398374;0.02611514;-0.091455829;0.029033569;0.0809;0.0714;0.0044;0.0263;0.1589;-0.0108;0.0080;0.0186
1998;4.10E+12;-0.086859688;0.000538686;-0.090865728;0.000590101;0.0895;0.1010;0.0295;0.0252;0.1534;-0.0346;-0.0238;-0.0318
1999;4.64E+12;0.131707317;0.218567005;0.123727393;0.214593121;0.0998;0.1098;0.0088;-0.0207;0.1513;-0.0142;0.0204;0.0442
2000;4.97E+12;0.07112069;-0.060586627;0.068705474;-0.055021919;0.1054;0.0544;-0.0553;-0.0642;0.1445;-0.0461;-0.0318;-0.0522
2001;4.37E+12;-0.120724346;-0.191845036;-0.128656831;-0.197362305;0.1125;0.0649;0.0104;0.0658;0.1408;-0.0256;0.0204;0.0523
2002;4.18E+12;-0.043478261;0.077246085;-0.044451763;0.084205068;0.1202;0.0661;0.0012;-0.0092;0.1379;-0.0209;0.0047;-0.0157
2003;4.52E+12;0.081339713;0.124817974;0.078200747;0.12265251;0.1243;0.0338;-0.0322;-0.0335;0.1318;-0.0455;-0.0246;-0.0293
2004;4.89E+12;0.081858407;0.000518694;0.07868031;0.000479562;0.1324;0.0627;0.0289;0.0611;0.1263;-0.0426;0.0029;0.0276
2005;4.83E+12;-0.012269939;-0.094128346;-0.012345836;-0.091026145;0.1358;0.0260;-0.0367;-0.0656;0.1256;-0.0056;0.0370;0.0341
2006;4.60E+12;-0.047619048;-0.035349109;-0.048790164;-0.036444328;0.1356;-0.0018;-0.0278;0.0090;0.1245;-0.0084;-0.0028;-0.0398
2007;4.58E+12;-0.004347826;0.043271222;-0.004357305;0.044432859;0.1340;-0.0115;-0.0097;0.0181;0.1227;-0.0144;-0.0060;-0.0032
2008;5.11E+12;0.115720524;0.12006835;0.109500406;0.113857711;0.1402;0.0452;0.0567;0.0664;0.1266;0.0312;0.0456;0.0516
2009;5.29E+12;0.035225049;-0.080495475;0.034618842;-0.074881564;0.1541;0.0942;0.0490;-0.0077;0.1316;0.0384;0.0073;-0.0383
2010;5.76E+12;0.088846881;0.053621832;0.085119229;0.050500387;0.1587;0.0292;-0.0650;-0.1140;0.1255;-0.0470;-0.0854;-0.0926
2011;6.23E+12;0.081597222;-0.007249659;0.078438858;-0.006680371;0.1691;0.0635;0.0344;0.0994;0.1256;0.0003;0.0473;0.1327
2012;6.27E+12;0.006420546;-0.075176676;0.006400022;-0.072038836;0.1741;0.0291;-0.0345;-0.0688;0.1240;-0.0126;-0.0128;-0.0601
2013;5.21E+12;-0.169059011;-0.175479557;-0.185196499;-0.191596521;0.1773;0.0184;-0.0107;0.0238;0.1228;-0.0095;0.0031;0.0159
2014;4.90E+12;-0.05950096;0.109558051;-0.061344651;0.123851848;0.1800;0.0152;-0.0031;0.0076;0.1213;-0.0129;-0.0034;-0.0065
2015;4.44E+12;-0.093877551;-0.034376591;-0.098580829;-0.037236178;0.1772;-0.0158;-0.0311;-0.0279;0.1179;-0.0282;-0.0153;-0.0120
2016;5.00E+12;0.126126126;0.220003677;0.118783536;0.217364365;0.1788;0.0092;0.0251;0.0561;0.1197;0.0151;0.0433;0.0587
2017;4.93E+12;-0.014;-0.140126126;-0.014098924;-0.13288246;0.1799;0.0057;-0.0035;-0.0286;0.1200;0.0028;-0.0124;-0.0557
2018;5.04E+12;0.022312373;0.036312373;0.022067094;0.036166018;0.1802;0.0021;-0.0036;-0.0001;0.1226;0.0216;0.0188;0.0312
2019;5.15E+12;0.021825397;-0.000486976;0.021590633;-0.000476461;0.1823;0.0116;0.0095;0.0131;0.1258;0.0259;0.0044;-0.0144
